tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,active_start_date,active_end_date
115+08983,RIO SALADO PKWY,EASTBOUND,AZ-101/S PRICE RD,AZ,MARICOPA,85281,33.4292,-111.90907,33.42937,-111.89184,0.994802,8.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115-04160,AZ-101-LOOP,CLOCKWISE,BROADWAY RD/EXIT 53,AZ,MARICOPA,85281,33.41746,-111.89146,33.41286,-111.89151,0.317844,93.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115+08980,RIO SALADO PKWY,EASTBOUND,S MILL AVE,AZ,MARICOPA,85281,33.42947,-111.96097,33.42957,-111.94008,1.378044,3.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115-06740,MCCLINTOCK DR,SOUTHBOUND,E SOUTHERN AVE,AZ,MARICOPA,85282,33.40743,-111.90908,33.39297,-111.90913,0.999139,11.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115-06741,MCCLINTOCK DR,SOUTHBOUND,E BROADWAY RD,AZ,MARICOPA,85281,33.41461,-111.90911,33.40757,-111.90908,0.486467,9.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115-06742,MCCLINTOCK DR,SOUTHBOUND,E APACHE BLVD,AZ,MARICOPA,85281,33.42199,-111.9091,33.41484,-111.90911,0.494057,7.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115-04161,AZ-101-LOOP,CLOCKWISE,UNIVERSITY DR/EXIT 52,AZ,MARICOPA,85281,33.42721,-111.89122,33.42214,-111.89137,0.350421,91.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115P10600,,AZ-202-LOOP/RED MOUNTAIN FWY EB,,AZ,MARICOPA,85201,33.42946,-111.89045,33.43334,-111.8857,0.422756,1.0,America/Phoenix,P4.0,USA,2024-04-09 14:00:00-04:00,null
115-06743,MCCLINTOCK DR,SOUTHBOUND,E UNIVERSITY DR,AZ,MARICOPA,85281,33.4292,-111.90907,33.42199,-111.9091,0.498204,6.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115-06744,MCCLINTOCK DR,SOUTHBOUND,E RIO SALADO PKWY,AZ,MARICOPA,85281,33.43657,-111.90961,33.42932,-111.90908,0.501895,4.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115+07646,MILL AVE,NORTHBOUND,UNIVERSITY DR,AZ,MARICOPA,85281,33.41706,-111.93997,33.42192,-111.94001,0.335821,7.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115+07645,MILL AVE,NORTHBOUND,E APACHE BLVD,AZ,MARICOPA,85281,33.40741,-111.93985,33.41493,-111.9399,0.519636,5.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115+08858,BROADWAY RD,EASTBOUND,S MILL AVE,AZ,MARICOPA,85282,33.40743,-111.96077,33.40741,-111.93985,1.206746,15.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115+08859,BROADWAY RD,EASTBOUND,S RURAL RD,AZ,MARICOPA,85282,33.40741,-111.93985,33.40744,-111.92628,0.78332,16.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115N07645,MILL AVE,SOUTHBOUND,E APACHE BLVD,AZ,MARICOPA,85281,33.41706,-111.93997,33.41493,-111.9399,0.147569,10.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115+07644,MILL AVE,NORTHBOUND,BROADWAY RD,AZ,MARICOPA,85282,33.39286,-111.9396,33.40741,-111.93985,1.005478,4.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115-08908,UNIVERSITY DR,WESTBOUND,S RURAL RD,AZ,MARICOPA,85281,33.42199,-111.9091,33.42201,-111.9263,0.991914,20.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115-08907,UNIVERSITY DR,WESTBOUND,S MILL AVE,AZ,MARICOPA,85281,33.42201,-111.9263,33.42192,-111.94001,0.790715,21.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115+07648,MILL AVE,NORTHBOUND,E CURRY RD/W WASHINGTON ST,AZ,MARICOPA,85281,33.42968,-111.93997,33.43756,-111.94328,0.587369,10.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115+07647,MILL AVE,NORTHBOUND,E RIO SALADO PKWY,AZ,MARICOPA,85281,33.42192,-111.94001,33.42958,-111.93997,0.529539,8.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115-08909,UNIVERSITY DR,WESTBOUND,S MCCLINTOCK DR,AZ,MARICOPA,85281,33.42214,-111.89195,33.42199,-111.9091,0.989707,19.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115-50047,N SCOTTSDALE RD,SOUTHBOUND,E RIO SALADO PKWY,AZ,MARICOPA,85281,33.43534,-111.92627,33.42929,-111.92627,0.418058,47.5,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115P06744,MCCLINTOCK DR,NORTHBOUND,E RIO SALADO PKWY,AZ,MARICOPA,85281,33.4292,-111.90907,33.42932,-111.90908,0.008311,20.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115P12609,,AZ-101-LOOP SOUTHBOUND,,AZ,MARICOPA,85281,33.42097,-111.89195,33.41746,-111.89146,0.244723,1.0,America/Phoenix,P4.0,USA,2024-04-09 14:00:00-04:00,null
115P06742,MCCLINTOCK DR,NORTHBOUND,E APACHE BLVD,AZ,MARICOPA,85281,33.41461,-111.90911,33.41484,-111.90911,0.015891,17.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115P12607,,S PRICE RD NORTHBOUND AND E UNIVERSITY DR,EXIT 52,AZ,MARICOPA,85281,33.41763,-111.89117,33.42099,-111.89037,0.237045,1.0,America/Phoenix,P4.0,USA,2024-04-09 14:00:00-04:00,null
115N07647,MILL AVE,SOUTHBOUND,E RIO SALADO PKWY,AZ,MARICOPA,85281,33.42967,-111.94008,33.42957,-111.94008,0.006909,7.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115P06741,MCCLINTOCK DR,NORTHBOUND,E BROADWAY RD,AZ,MARICOPA,85282,33.40743,-111.90908,33.40757,-111.90908,0.009673,15.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115+07640,PRICE RD,NORTHBOUND,AZ-101/E PIMA ST,AZ,MARICOPA,85281,33.42099,-111.89037,33.43266,-111.89072,0.808018,24.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115P04161,AZ-101-LOOP,COUNTERCLOCKWISE,UNIVERSITY DR/EXIT 52,AZ,MARICOPA,85281,33.41763,-111.89117,33.42214,-111.89106,0.311683,21.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115P04160,AZ-101-LOOP,COUNTERCLOCKWISE,BROADWAY RD/EXIT 53,AZ,MARICOPA,85282,33.40159,-111.89098,33.41301,-111.89124,0.789233,19.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115P04162,AZ-101-LOOP,COUNTERCLOCKWISE,AZ-202/EXIT 51,AZ,MARICOPA,85281,33.42565,-111.891,33.44362,-111.89076,1.241794,23.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115+05737,RURAL RD,NORTHBOUND,E RIO SALADO PKWY/N SCOTTSDALE RD,AZ,MARICOPA,85281,33.42201,-111.9263,33.42877,-111.92622,0.46761,16.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115-08910,UNIVERSITY DR,WESTBOUND,AZ-101/PRICE FWY,AZ,MARICOPA,85281,33.42213,-111.87437,33.42214,-111.89031,0.919697,17.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115N06741,MCCLINTOCK DR,SOUTHBOUND,E BROADWAY RD,AZ,MARICOPA,85282,33.40757,-111.90908,33.40743,-111.90908,0.009673,10.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115N06742,MCCLINTOCK DR,SOUTHBOUND,E APACHE BLVD,AZ,MARICOPA,85281,33.41484,-111.90911,33.41461,-111.90911,0.015891,8.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115N04162,AZ-101-LOOP,CLOCKWISE,AZ-202/EXIT 51,AZ,MARICOPA,85281,33.44349,-111.89104,33.42721,-111.89122,1.124914,90.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115+07639,PRICE RD,NORTHBOUND,AZ-101/E APACHE BLVD/PRICE FWY,AZ,MARICOPA,85281,33.40858,-111.8904,33.41469,-111.89073,0.422689,22.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115+05735,RURAL RD,NORTHBOUND,E APACHE BLVD,AZ,MARICOPA,85281,33.40755,-111.92628,33.4147,-111.92631,0.494049,13.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115+05736,RURAL RD,NORTHBOUND,E UNIVERSITY DR,AZ,MARICOPA,85281,33.41483,-111.9263,33.42201,-111.9263,0.496115,15.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115+05734,RURAL RD,NORTHBOUND,E BROADWAY RD,AZ,MARICOPA,85282,33.39296,-111.92634,33.40744,-111.92628,1.000504,12.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115P10616,,AZ-101-LOOP/PRICE FWY SOUTHBOUND,,AZ,MARICOPA,85281,33.42984,-111.89169,33.42721,-111.89122,0.183992,1.0,America/Phoenix,P4.0,USA,2024-04-09 14:00:00-04:00,null
115N06744,MCCLINTOCK DR,SOUTHBOUND,E RIO SALADO PKWY,AZ,MARICOPA,85281,33.42932,-111.90908,33.4292,-111.90907,0.008311,5.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115-08983,RIO SALADO PKWY,WESTBOUND,AZ-101/S PRICE RD,AZ,MARICOPA,85201,33.42944,-111.87428,33.4293,-111.89027,0.92215,4.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115-08980,RIO SALADO PKWY,WESTBOUND,S MILL AVE,AZ,MARICOPA,85281,33.42891,-111.92628,33.42968,-111.93997,0.837312,8.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115-08861,BROADWAY RD,WESTBOUND,AZ-101/PRICE FWY,AZ,MARICOPA,85282,33.4076,-111.87454,33.40758,-111.89035,0.912712,21.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115-08982,RIO SALADO PKWY,WESTBOUND,MCCLINTOCK DR,AZ,MARICOPA,85281,33.42937,-111.89184,33.42932,-111.90908,0.995312,6.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115-08981,RIO SALADO PKWY,WESTBOUND,N SCOTTSDALE RD/S RURAL RD,AZ,MARICOPA,85281,33.42932,-111.90908,33.42891,-111.92628,1.000579,7.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115-08860,BROADWAY RD,WESTBOUND,S MCCLINTOCK DR,AZ,MARICOPA,85282,33.40756,-111.892,33.40757,-111.90908,0.985149,23.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115-08906,UNIVERSITY DR,WESTBOUND,S PRIEST DR,AZ,MARICOPA,85281,33.42192,-111.94001,33.42194,-111.96092,1.205931,22.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115N04161,AZ-101-LOOP,CLOCKWISE,UNIVERSITY DR/EXIT 52,AZ,MARICOPA,85281,33.42214,-111.89137,33.41746,-111.89146,0.323404,92.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115N04160,AZ-101-LOOP,CLOCKWISE,BROADWAY RD/EXIT 53,AZ,MARICOPA,85282,33.41286,-111.89151,33.40148,-111.8913,0.786478,94.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115P50047,N SCOTTSDALE RD,NORTHBOUND,E RIO SALADO PKWY,AZ,MARICOPA,85281,33.42891,-111.92628,33.42929,-111.92627,0.026267,1.5,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115+07624,APACHE BLVD,EASTBOUND,S PRICE RD,AZ,MARICOPA,85281,33.41461,-111.90911,33.41467,-111.89196,0.98927,3.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115+07623,APACHE BLVD,EASTBOUND,S MCCLINTOCK DR,AZ,MARICOPA,85281,33.4147,-111.92631,33.41461,-111.90911,0.992345,2.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115+07622,APACHE BLVD,EASTBOUND,S RURAL RD,AZ,MARICOPA,85281,33.41664,-111.9399,33.4147,-111.92631,0.848866,1.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115N08910,UNIVERSITY DR,WESTBOUND,AZ-101/PRICE FWY,AZ,MARICOPA,85281,33.42214,-111.89031,33.42214,-111.89195,0.094575,18.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115+12636,E 13TH ST,EASTBOUND,E APACHE BLVD,AZ,MARICOPA,85281,33.41476,-111.93965,33.41466,-111.93784,0.105926,2.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115+07625,APACHE BLVD,EASTBOUND,LEBANON LN,AZ,MARICOPA,85281,33.41469,-111.89073,33.41473,-111.88486,0.338591,5.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
